"birthdate","injuredDays","up15","photo2","isActive","idTeam","nick","number","insertDatetime","price","height","isNational","isExitLeague","initialPrice","fullName","photo","url","fisicStatus","imageTeam","license","idPlayer","birthplace","nationality","competitionAverage","teamNegative","numberJourney","team","isLocal","pointsJourney","keep","imageTeamNegative","position","isExtraCommunity","shortName","nameTeam","age","down15","computeMatch"
"25/05/1996",0,86.3,"0000832518_5-6_03.jpg",TRUE,7,"Alonso",10,"20250915T142624+0000",725625,"191",TRUE,FALSE,250000,"Francis Alonso","0000832509_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20210585","fit","breogan_00.png","JFL",84,"Málaga","España",14.5,<chr>,<int>,<chr>,<lgl>,<dbl>,14.5,"https://supermanager.acb.com/files/logo/breogan_00.png",3,FALSE,"F. Alonso","Río Breogán",29,-57.3,NA
"23/12/1992",0,82,"0000826980_5-6_03.jpg",TRUE,18,"Perry",55,"20250915T142625+0000",725333,"183",FALSE,FALSE,520000,"Kendrick Perry","0000826959_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30001977","fit","2324UnicajaLogo.png","EUR",217,"Atlanta","Montenegro",14.5,<chr>,<int>,<chr>,<lgl>,<dbl>,14.5,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",1,FALSE,"K. Perry","Unicaja",33,-52.9,NA
"05/11/2000",0,85.7,"0000832392_5-6_03.jpg",TRUE,7,"Brankovic",22,"20250915T142624+0000",720312,"217",FALSE,FALSE,420000,"Danko Brankovic","0000832382_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30004004","fit","breogan_00.png","EUR",78,"Zagreb","Croacia",14.4,<chr>,<int>,<chr>,<lgl>,<dbl>,14.4,"https://supermanager.acb.com/files/logo/breogan_00.png",5,FALSE,"D. Brankovic","Río Breogán",25,-56.9,NA
"13/06/1997",0,67.2,"0000826780_5-6_03.jpg",TRUE,18,"Duarte",27,"20250915T142625+0000",665000,"196",FALSE,FALSE,6e+05,"Chris Duarte","0000826755_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30003966","injured","2324UnicajaLogo.png","COT",215,"Puerto Plata","República Dominicana",13.3,<chr>,<int>,<chr>,<lgl>,<NULL>,13.3,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",3,FALSE,"C. Duarte","Unicaja",28,-40.6,NA
"19/11/2000",0,71.8,"0000827098_5-6_03.jpg",TRUE,18,"Balcerowski",2,"20250915T142625+0000",635000,"216",TRUE,FALSE,240000,"Olek Balcerowski","0000827082_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20212243","fit","2324UnicajaLogo.png","JFL",224,"Swidnica","Polonia",12.7,<chr>,<int>,<chr>,<lgl>,<dbl>,12.7,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",5,FALSE,"O. Balcerowski","Unicaja",25,-46.4,NA
"01/05/1997",0,70.9,"0000832562_5-6_03.jpg",TRUE,7,"Cook",1,"20250915T142624+0000",611290,"196",FALSE,FALSE,570000,"Keandre Cook","0000832554_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30004007","fit","breogan_00.png","EXT",81,"Baltimore (Maryland)","EE.UU.",12.2,<chr>,<int>,<chr>,<lgl>,<dbl>,12.2,"https://supermanager.acb.com/files/logo/breogan_00.png",3,TRUE,"K. Cook","Río Breogán",29,-46.5,NA
"29/01/1996",0,48.7,"0000827158_5-6_03.jpg",TRUE,18,"Tyson",0,"20250915T142625+0000",608421,"202",TRUE,FALSE,490000,"Tyson Pérez","0000827145_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30000053","injured","2324UnicajaLogo.png","JFL",223,"Santo Domingo","España",12.2,<chr>,<int>,<chr>,<lgl>,<NULL>,12.2,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",5,FALSE,"T. Pérez","Unicaja",30,-24.3,NA
"15/06/1994",0,68.2,"0000832447_5-6_03.jpg",TRUE,7,"Mavra",19,"20250915T142624+0000",572813,"195",FALSE,FALSE,440000,"Dominik Mavra","0000832439_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20212431","fit","breogan_00.png","EUR",80,"Zadar","Croacia",11.5,<chr>,<int>,<chr>,<lgl>,<dbl>,11.5,"https://supermanager.acb.com/files/logo/breogan_00.png",1,FALSE,"D. Mavra","Río Breogán",31,-45.3,NA
"19/08/1993",0,55.4,"0000826896_5-6_03.jpg",TRUE,18,"Webb",3,"20250915T142625+0000",532222,"203",FALSE,FALSE,460000,"James Webb III","0000826913_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/30000954","fit","2324UnicajaLogo.png","EXT",221,"Augusta (Georgia)","EE.UU.",10.6,<chr>,<int>,<chr>,<lgl>,<dbl>,10.6,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",5,TRUE,"J. Webb","Unicaja",32,-34.1,NA
"23/04/1994",0,54.3,"0000826722_5-6_03.jpg",TRUE,18,"Díaz",9,"20250915T142625+0000",521852,"190",TRUE,FALSE,390000,"Alberto Díaz","0000826701_5-6_03.jpg","https://www.acb.com/jugador/todos-sus-partidos/id/20209226","fit","2324UnicajaLogo.png","JFL",225,"Málaga","España",10.4,<chr>,<int>,<chr>,<lgl>,<dbl>,10.4,"https://supermanager.acb.com/files/logo/2324UnicajaLogo.png",1,FALSE,"A. Díaz","Unicaja",32,-33.4,NA
